supplier_sku,name,category,cost_price,stock,weight_kg,length_cm,width_cm,height_cm,image_url,description,brand,shipping_cost,supplier_lead_days,shopify_product_type,handle,seo_title,meta_description,tags,vendor,requires_shipping,taxable,inventory_policy
SKU013,Portable Phone Stand Adjustable,Electronics,8.90,156,0.18,15.0,8.5,2.5,https://images.unsplash.com/photo-1556656793-08538906a9f8?w=800,Foldable adjustable phone stand for desk and travel use,StandPro,2.50,3,Phone Accessories,portable-phone-stand-adjustable,Adjustable Portable Phone Stand - Foldable Desk Travel,Compact foldable phone stand perfect for desk work and travel,phone stand adjustable portable desk travel mobile,StandPro,true,true,deny
SKU014,Stainless Steel Kitchen Scale,Home & Kitchen,26.40,39,1.25,23.0,18.0,3.5,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800,Digital kitchen scale with precision weighing and tare function,PrecisionChef,6.20,6,Kitchen Tools,stainless-steel-kitchen-scale,Digital Kitchen Scale - Precision Weighing Tare Function,Professional digital kitchen scale with precise measurements and tare function,kitchen scale digital weighing cooking precision,PrecisionChef,true,true,deny
SKU015,Car Phone Mount Magnetic,Automotive,11.80,102,0.22,12.0,8.0,6.5,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=800,Strong magnetic car phone mount with 360-degree rotation,DriveSecure,3.40,4,Car Accessories,car-phone-mount-magnetic,Magnetic Car Phone Mount - 360° Rotation Strong Hold,Powerful magnetic car phone mount with 360-degree rotation and secure grip,car phone mount magnetic automotive driving safety,DriveSecure,true,true,deny
SKU016,Memory Foam Pillow Contour,Home & Kitchen,31.60,28,0.95,60.0,40.0,12.0,https://images.unsplash.com/photo-1586227740560-8cf2732c1531?w=800,Ergonomic memory foam pillow with cooling gel layer,SleepWell,8.75,9,Bedding,memory-foam-pillow-contour,Ergonomic Memory Foam Pillow - Cooling Gel Contour,Premium memory foam pillow with cooling gel layer for better sleep,memory foam pillow sleep ergonomic cooling comfort,SleepWell,true,true,deny
SKU017,Fitness Tracker Smart Watch,Electronics,45.80,23,0.12,4.5,3.8,1.2,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=800,Advanced fitness tracker with heart rate monitor and GPS,FitTrack,2.90,10,Wearables,fitness-tracker-smart-watch,Advanced Fitness Tracker - Heart Rate GPS Smart Watch,Professional fitness tracker with heart rate monitoring and built-in GPS,fitness tracker smartwatch health monitoring gps,FitTrack,true,true,deny
SKU018,Silicone Baking Mat Set,Home & Kitchen,13.20,84,0.35,42.0,29.5,0.3,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800,Non-stick silicone baking mats set of 3 with measurement guides,BakeEasy,4.60,4,Baking Tools,silicone-baking-mat-set,Non-Stick Silicone Baking Mat Set - 3 Pack Measurements,Professional silicone baking mats with measurement guides for perfect baking,silicone baking mat non-stick kitchen baking tools,BakeEasy,true,true,deny
SKU019,LED Strip Lights 5m RGB,Home & Kitchen,17.90,71,0.28,20.0,15.0,3.0,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,Color-changing LED strip lights with remote control and adhesive backing,LightUp,3.80,5,Lighting,led-strip-lights-5m-rgb,RGB LED Strip Lights 5m - Color Changing Remote Control,Vibrant RGB LED strip lights with remote control and easy installation,led strip lights rgb color changing remote lighting,LightUp,true,true,deny
SKU020,Laptop Cooling Pad,Electronics,23.70,47,0.85,35.0,25.0,2.8,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=800,Laptop cooling pad with dual fans and adjustable height,CoolTech,5.90,7,Computer Accessories,laptop-cooling-pad,Laptop Cooling Pad - Dual Fans Adjustable Height,Professional laptop cooling pad with dual fans and ergonomic design,laptop cooling pad computer accessories fans cooling,CoolTech,true,true,deny
SKU021,Ceramic Plant Pots Set 3-Pack,Home & Garden,19.40,65,1.60,15.0,15.0,14.0,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=800,Modern ceramic plant pots with drainage holes and saucers,GreenHome,7.20,6,Garden,ceramic-plant-pots-set-3-pack,Modern Ceramic Plant Pots Set - 3 Pack Drainage Saucers,Beautiful ceramic plant pots with drainage holes and matching saucers,ceramic plant pots garden home decor planters,GreenHome,true,true,deny
SKU022,Portable Bluetooth Keyboard,Electronics,28.50,38,0.45,28.5,12.0,0.8,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800,Ultra-thin Bluetooth keyboard with backlight and long battery life,TypeMaster,4.70,8,Computer Accessories,portable-bluetooth-keyboard,Ultra-Thin Bluetooth Keyboard - Backlight Long Battery,Sleek portable Bluetooth keyboard with backlight and extended battery life,bluetooth keyboard portable computer wireless typing,TypeMaster,true,true,deny
SKU023,Insulated Lunch Box,Home & Kitchen,16.80,93,0.65,25.0,20.0,15.0,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,Insulated lunch box with multiple compartments and ice pack,FreshKeep,5.30,4,Food Storage,insulated-lunch-box,Insulated Lunch Box - Multiple Compartments Ice Pack,Premium insulated lunch box with multiple compartments and cooling ice pack,lunch box insulated food storage compartments fresh,FreshKeep,true,true,deny
SKU024,Wall Clock Modern Minimalist,Home & Decor,22.90,52,0.55,30.0,30.0,4.5,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=800,Silent wall clock with modern minimalist design and wooden frame,TimeStyle,6.80,7,Home Decor,wall-clock-modern-minimalist,Modern Minimalist Wall Clock - Silent Wooden Frame,Elegant silent wall clock with minimalist design and natural wooden frame,wall clock modern minimalist silent home decor time,TimeStyle,true,true,deny
SKU025,Phone Ring Holder Stand,Electronics,6.70,187,0.05,7.0,7.0,0.8,https://images.unsplash.com/photo-1556656793-08538906a9f8?w=800,360-degree rotating phone ring holder with magnetic car mount,GripSecure,1.80,2,Phone Accessories,phone-ring-holder-stand,360° Phone Ring Holder Stand - Magnetic Car Mount,Versatile phone ring holder with 360-degree rotation and magnetic car mount,phone ring holder stand grip magnetic car mount,GripSecure,true,true,deny
SKU026,Stainless Steel Straws Set,Home & Kitchen,9.60,134,0.15,21.5,2.5,2.5,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=800,Reusable stainless steel straws set with cleaning brush and pouch,EcoSip,2.90,3,Kitchen Tools,stainless-steel-straws-set,Reusable Stainless Steel Straws Set - Cleaning Brush Pouch,Eco-friendly stainless steel straws with cleaning brush and travel pouch,stainless steel straws reusable eco-friendly sustainable,EcoSip,true,true,deny
SKU027,Wireless Mouse Ergonomic,Electronics,21.30,59,0.18,11.5,6.8,3.2,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=800,Ergonomic wireless mouse with precision tracking and long battery,ClickPro,3.60,5,Computer Accessories,wireless-mouse-ergonomic,Ergonomic Wireless Mouse - Precision Tracking Long Battery,Professional ergonomic wireless mouse with precision tracking and extended battery,wireless mouse ergonomic computer precision tracking,ClickPro,true,true,deny
SKU028,Canvas Wall Art Print,Home & Decor,18.60,76,0.25,40.0,30.0,2.0,https://images.unsplash.com/photo-1541961017774-22349e4a1262?w=800,Modern abstract canvas wall art print ready to hang,ArtVibe,5.50,8,Home Decor,canvas-wall-art-print,Modern Abstract Canvas Wall Art Print - Ready to Hang,Contemporary abstract canvas art print ready to hang and transform your space,canvas wall art print modern abstract home decor,ArtVibe,true,true,deny
SKU029,Portable Power Bank 10000mAh,Electronics,24.90,41,0.32,14.0,7.0,1.5,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=800,High-capacity power bank with fast charging and LED display,PowerMax,3.90,6,Phone Accessories,portable-power-bank-10000mah,10000mAh Portable Power Bank - Fast Charging LED Display,High-capacity portable power bank with fast charging technology and LED display,power bank portable charging battery fast charging mobile,PowerMax,true,true,deny
SKU030,Kitchen Knife Set 6-Piece,Home & Kitchen,35.40,33,1.10,32.0,22.0,5.0,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800,Professional kitchen knife set with wooden block and sharpening steel,ChefMaster,8.20,9,Kitchen Tools,kitchen-knife-set-6-piece,Professional Kitchen Knife Set - 6 Piece Wooden Block,Premium kitchen knife set with wooden block and professional sharpening steel,kitchen knife set professional cooking chef tools,ChefMaster,true,true,deny
SKU031,Bluetooth Sleep Mask,Health & Beauty,19.80,48,0.12,25.0,10.0,2.5,https://images.unsplash.com/photo-1541781774459-bb2af2f05b55?w=800,Wireless Bluetooth sleep mask with built-in speakers and soft padding,SleepSound,3.70,7,Sleep Aids,bluetooth-sleep-mask,Wireless Bluetooth Sleep Mask - Built-in Speakers Soft,Comfortable Bluetooth sleep mask with built-in speakers for relaxing sleep,bluetooth sleep mask wireless speakers comfort relaxation,SleepSound,true,true,deny
SKU032,Adjustable Laptop Stand,Electronics,29.70,36,0.95,26.0,24.0,3.5,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=800,Aluminum adjustable laptop stand with heat dissipation design,ErgoDesk,6.40,8,Computer Accessories,adjustable-laptop-stand,Aluminum Adjustable Laptop Stand - Heat Dissipation Design,Premium aluminum laptop stand with adjustable height and heat dissipation,laptop stand adjustable aluminum ergonomic computer,ErgoDesk,true,true,deny
SKU033,Herb Garden Starter Kit,Home & Garden,26.80,54,1.40,30.0,20.0,12.0,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=800,Indoor herb garden starter kit with seeds pots and growing guide,GrowFresh,7.90,5,Garden,herb-garden-starter-kit,Indoor Herb Garden Starter Kit - Seeds Pots Growing Guide,Complete indoor herb garden kit with seeds pots and comprehensive growing guide,herb garden indoor growing kit seeds plants gardening,GrowFresh,true,true,deny
SKU034,Car Air Freshener Diffuser,Automotive,12.50,98,0.08,8.5,5.0,5.0,https://images.unsplash.com/photo-1449824913935-59a10b8d2000?w=800,Essential oil car diffuser with USB power and multiple scent options,FreshDrive,2.60,4,Car Accessories,car-air-freshener-diffuser,Essential Oil Car Diffuser - USB Power Multiple Scents,Premium car air freshener diffuser with USB power and multiple scent options,car air freshener diffuser essential oil automotive,FreshDrive,true,true,deny
SKU035,Silicone Ice Cube Trays,Home & Kitchen,8.40,145,0.28,24.0,12.0,3.0,https://images.unsplash.com/photo-1571068316344-75bc76f77890?w=800,Flexible silicone ice cube trays set of 2 with easy release design,ChillMaker,3.10,3,Kitchen Tools,silicone-ice-cube-trays,Flexible Silicone Ice Cube Trays - 2 Pack Easy Release,Premium silicone ice cube trays with flexible design for easy ice release,silicone ice cube trays flexible kitchen tools easy,ChillMaker,true,true,deny
